company_id,name,industry,headquarters,official_domain,founded_year,trust_status,trust_score,employee_count,report_count,notes
26,Procter & Gamble,Consumer Goods,"Cincinnati, OH, US",pg.com,1837,verified,99,100000,0,"Publicly known, established company."
27,LinkedIn,Internet,"Sunnyvale, CA, US",linkedin.com,2002,verified,99,25000,0,"Publicly known, established company."
28,Intel,Semiconductors,"Santa Clara, CA, US",intel.com,1968,verified,96,10000,0,"Publicly known, established company."
29,NVIDIA,Semiconductors,"Santa Clara, CA, US",nvidia.com,1993,verified,94,200000,0,"Publicly known, established company."
30,Cisco Systems,Networking,"San Jose, CA, US",cisco.com,1984,verified,95,5000,0,"Publicly known, established company."
31,XYZ Tech,Information Technology and Services,"Austin, TX, US",xyztech.com,2011,verified,91,150,0,Registered business with verifiable domain and presence.
32,Verified Tech Startup,Computer Software,"San Francisco, CA, US",verifiedtechstartup.com,2018,verified,90,150,0,Registered business with verifiable domain and presence.
33,Global Tech Solutions,Information Technology and Services,"Chicago, IL, US",globaltechsolutions.com,2009,verified,87,300,0,Registered business with verifiable domain and presence.
34,Harborview Financial,Logistics and Supply Chain,"San Francisco, CA, US",harborviewfinancial.com,1992,verified,86,120,0,Registered business with verifiable domain and presence.
35,Lakeside Retail Co.,Financial Services,"Sydney, NSW, AU",lakesideretailco.com,2016,verified,83,10,0,Registered business with verifiable domain and presence.
36,Oakmont Consulting,Telecommunications,"London, England, GB",oakmontconsulting.com,2005,verified,80,800,0,Registered business with verifiable domain and presence.
37,Cascade Analytics,Logistics and Supply Chain,"Mumbai, MH, IN",cascadeanalytics.com,2014,verified,72,1500,0,Registered business with verifiable domain and presence.
38,Summit Healthcare,Hospital & Health Care,"Bangalore, KA, IN",summithealthcare.com,1998,verified,77,800,0,Registered business with verifiable domain and presence.
39,Silverline Financial,Human Resources,"Manchester, England, GB",silverlinefinancial.com,2013,verified,79,800,0,Registered business with verifiable domain and presence.
40,Pinecrest Manufacturing,Information Technology and Services,"Atlanta, GA, US",pinecrestmanufacturing.com,2007,verified,75,300,0,Registered business with verifiable domain and presence.
41,Bluepeak Analytics,Real Estate,"Atlanta, GA, US",bluepeakanalytics.com,2015,verified,79,10,0,Registered business with verifiable domain and presence.
42,Horizon Media,Construction,"Toronto, ON, CA",horizonmedia.com,2013,verified,83,50,0,Registered business with verifiable domain and presence.
43,Harborview Media,Education Management,"Seattle, WA, US",harborviewmedia.com,1993,verified,96,120,0,Registered business with verifiable domain and presence.
44,Pacific Crest Holdings,Marketing and Advertising,"Bangalore, KA, IN",pacificcrestholdings.com,2011,verified,81,800,0,Registered business with verifiable domain and presence.
45,Pinecrest Logistics,Financial Services,"San Francisco, CA, US",pinecrestlogistics.com,1996,verified,74,25,0,Registered business with verifiable domain and presence.
46,Oakmont Logistics,Insurance,"London, England, GB",oakmontlogistics.com,1992,verified,94,1500,0,Registered business with verifiable domain and presence.
47,Apex Group,Construction,"London, England, GB",apexgroup.com,2008,verified,89,300,0,Registered business with verifiable domain and presence.
48,Ironwood Group,Insurance,"Pune, MH, IN",ironwoodgroup.com,2017,verified,89,800,0,Registered business with verifiable domain and presence.
49,Oakmont Solutions,Telecommunications,"London, England, GB",oakmontsolutions.com,2019,verified,89,120,0,Registered business with verifiable domain and presence.
50,Pinecrest Media,Hospital & Health Care,"New York, NY, US",pinecrestmedia.com,2012,verified,75,120,0,Registered business with verifiable domain and presence.
51,Summit Systems,Real Estate,"Austin, TX, US",summitsystems.com,1992,verified,80,300,0,Registered business with verifiable domain and presence.
52,Northbridge Industries,Information Technology and Services,"Manchester, England, GB",northbridgeindustries.com,1994,verified,87,10,0,Registered business with verifiable domain and presence.
53,Cascade Technologies,Computer Software,"Pune, MH, IN",cascadetechnologies.com,1998,verified,89,120,0,Registered business with verifiable domain and presence.
54,Crestview Healthcare,Retail,"Manchester, England, GB",crestviewhealthcare.com,2008,verified,85,10,0,Registered business with verifiable domain and presence.
55,Crestview Industries,Insurance,"Boston, MA, US",crestviewindustries.com,2001,verified,85,1500,0,Registered business with verifiable domain and presence.
56,Silverline Partners,Education Management,"New York, NY, US",silverlinepartners.com,1998,verified,86,50,0,Registered business with verifiable domain and presence.
57,Crestview Holdings,Information Technology and Services,"Mumbai, MH, IN",crestviewholdings.com,2018,verified,79,800,0,Registered business with verifiable domain and presence.
58,Pacific Crest Consulting,Retail,"Sydney, NSW, AU",pacificcrestconsulting.com,2012,verified,94,50,0,Registered business with verifiable domain and presence.
59,Lakeside Manufacturing,Telecommunications,"Chicago, IL, US",lakesidemanufacturing.com,2019,verified,87,1500,0,Registered business with verifiable domain and presence.
60,Glenmark Retail Co.,Human Resources,"Chicago, IL, US",glenmarkretailco.com,1997,verified,95,25,0,Registered business with verifiable domain and presence.
61,Granite Media,Insurance,"Mumbai, MH, IN",granitemedia.com,1999,verified,76,300,0,Registered business with verifiable domain and presence.
62,Redwood Manufacturing,Insurance,"New York, NY, US",redwoodmanufacturing.com,1986,verified,95,50,0,Registered business with verifiable domain and presence.
63,Redwood Healthcare,Hospital & Health Care,"Bangalore, KA, IN",redwoodhealthcare.com,2007,verified,84,1500,0,Registered business with verifiable domain and presence.
64,Brookstone Manufacturing,Retail,"San Francisco, CA, US",brookstonemanufacturing.com,1999,verified,73,25,0,Registered business with verifiable domain and presence.
65,Redwood Systems,Retail,"Chicago, IL, US",redwoodsystems.com,2015,verified,89,300,0,Registered business with verifiable domain and presence.
66,Granite Technologies,Real Estate,"Sydney, NSW, AU",granitetechnologies.com,2007,verified,95,800,0,Registered business with verifiable domain and presence.
67,Summit Industries,Construction,"Mumbai, MH, IN",summitindustries.com,1997,verified,85,25,0,Registered business with verifiable domain and presence.
68,Westgate Retail Co.,Computer Software,"Mumbai, MH, IN",westgateretailco.com,2010,verified,84,120,0,Registered business with verifiable domain and presence.
69,Brookstone Consulting,Logistics and Supply Chain,"Boston, MA, US",brookstoneconsulting.com,2008,verified,78,50,0,Registered business with verifiable domain and presence.
70,Crestview Networks,Telecommunications,"Toronto, ON, CA",crestviewnetworks.com,1994,verified,89,1500,0,Registered business with verifiable domain and presence.
71,Vantage Analytics,Financial Services,"Austin, TX, US",vantageanalytics.com,1985,verified,95,25,0,Registered business with verifiable domain and presence.
72,Fairview Group,Information Technology and Services,"New York, NY, US",fairviewgroup.com,1991,verified,86,800,0,Registered business with verifiable domain and presence.
73,Crestview Labs,Hospital & Health Care,"London, England, GB",crestviewlabs.com,2017,verified,90,800,0,Registered business with verifiable domain and presence.
74,Meridian Financial,Education Management,"Chicago, IL, US",meridianfinancial.com,2005,verified,78,300,0,Registered business with verifiable domain and presence.
75,Westgate Group,Information Technology and Services,"Sydney, NSW, AU",westgategroup.com,2007,verified,84,800,0,Registered business with verifiable domain and presence.
76,Atlas Capital,Construction,"Pune, MH, IN",atlascapital.com,2017,verified,74,300,0,Registered business with verifiable domain and presence.
77,Crestview Capital,Education Management,"New York, NY, US",crestviewcapital.com,2013,verified,94,25,0,Registered business with verifiable domain and presence.
78,Vantage Technologies,Retail,"Seattle, WA, US",vantagetechnologies.com,2018,verified,89,10,0,Registered business with verifiable domain and presence.
79,Redwood Industries,Education Management,"New York, NY, US",redwoodindustries.com,2005,verified,91,300,0,Registered business with verifiable domain and presence.
80,Glenmark Holdings,Real Estate,"Mumbai, MH, IN",glenmarkholdings.com,1991,verified,87,10,0,Registered business with verifiable domain and presence.
81,Horizon Systems,Marketing and Advertising,"New York, NY, US",horizonsystems.com,1991,verified,86,120,0,Registered business with verifiable domain and presence.
82,Fairview Technologies,Telecommunications,"Sydney, NSW, AU",fairviewtechnologies.com,1989,verified,84,50,0,Registered business with verifiable domain and presence.
83,Vantage Capital,Logistics and Supply Chain,"London, England, GB",vantagecapital.com,1997,verified,92,50,0,Registered business with verifiable domain and presence.
84,Harborview Capital,Education Management,"Mumbai, MH, IN",harborviewcapital.com,2015,verified,86,25,0,Registered business with verifiable domain and presence.
85,Silverline Capital,Construction,"Pune, MH, IN",silverlinecapital.com,1988,verified,86,1500,0,Registered business with verifiable domain and presence.
86,Harborview Group,Construction,"San Francisco, CA, US",harborviewgroup.com,2010,verified,84,50,0,Registered business with verifiable domain and presence.
87,Summit Logistics,Construction,"San Francisco, CA, US",summitlogistics.com,1998,verified,91,50,0,Registered business with verifiable domain and presence.
88,Sterling Industries,Telecommunications,"Austin, TX, US",sterlingindustries.com,2008,verified,74,50,0,Registered business with verifiable domain and presence.
89,Lakeside Logistics,Financial Services,"Bangalore, KA, IN",lakesidelogistics.com,2012,verified,86,120,0,Registered business with verifiable domain and presence.
90,Ironwood Labs,Marketing and Advertising,"London, England, GB",ironwoodlabs.com,1988,verified,96,50,0,Registered business with verifiable domain and presence.
91,Apex Media,Retail,"London, England, GB",apexmedia.com,2003,verified,86,10,0,Registered business with verifiable domain and presence.
92,Bluepeak Logistics,Financial Services,"Austin, TX, US",bluepeaklogistics.com,2018,verified,91,10,0,Registered business with verifiable domain and presence.
93,Eastview Partners,Marketing and Advertising,"Mumbai, MH, IN",eastviewpartners.com,1993,verified,96,120,0,Registered business with verifiable domain and presence.
94,Pacific Crest Healthcare,Construction,"Austin, TX, US",pacificcresthealthcare.com,2019,verified,86,300,0,Registered business with verifiable domain and presence.
95,Redwood Retail Co.,Computer Software,"Seattle, WA, US",redwoodretailco.com,1988,verified,95,800,0,Registered business with verifiable domain and presence.
96,Lakeside Labs,Computer Software,"Seattle, WA, US",lakesidelabs.com,1986,verified,90,10,0,Registered business with verifiable domain and presence.
97,Sterling Healthcare,Retail,"Chicago, IL, US",sterlinghealthcare.com,2004,verified,80,120,0,Registered business with verifiable domain and presence.
98,Pacific Crest Industries,Real Estate,"New York, NY, US",pacificcrestindustries.com,2006,verified,87,120,0,Registered business with verifiable domain and presence.
99,Stonefield Group,Information Technology and Services,"London, England, GB",stonefieldgroup.com,2000,verified,73,25,0,Registered business with verifiable domain and presence.
100,Stonefield Solutions,Financial Services,"Chicago, IL, US",stonefieldsolutions.com,2004,verified,90,50,0,Registered business with verifiable domain and presence.
101,Glenmark Systems,Marketing and Advertising,"Atlanta, GA, US",glenmarksystems.com,2017,verified,91,25,0,Registered business with verifiable domain and presence.
102,Stonefield Manufacturing,Telecommunications,"New York, NY, US",stonefieldmanufacturing.com,2001,verified,71,10,0,Registered business with verifiable domain and presence.
103,Apex Capital,Education Management,"Chicago, IL, US",apexcapital.com,2017,verified,85,25,0,Registered business with verifiable domain and presence.
104,Harborview Industries,Human Resources,"Pune, MH, IN",harborviewindustries.com,2012,verified,91,120,0,Registered business with verifiable domain and presence.
105,Fairview Media,Education Management,"Seattle, WA, US",fairviewmedia.com,1998,verified,77,50,0,Registered business with verifiable domain and presence.
106,Meridian Group,Construction,"Boston, MA, US",meridiangroup.com,1988,verified,96,25,0,Registered business with verifiable domain and presence.
107,Apex Consulting,Construction,"Sydney, NSW, AU",apexconsulting.com,2011,verified,90,800,0,Registered business with verifiable domain and presence.
108,Northbridge Consulting,Human Resources,"Pune, MH, IN",northbridgeconsulting.com,2009,verified,86,800,0,Registered business with verifiable domain and presence.
109,Brightwater Logistics,Insurance,"Seattle, WA, US",brightwaterlogistics.com,1987,verified,84,25,0,Registered business with verifiable domain and presence.
110,Lakeside Healthcare,Real Estate,"San Francisco, CA, US",lakesidehealthcare.com,2005,verified,84,120,0,Registered business with verifiable domain and presence.
111,Fairview Retail Co.,Hospital & Health Care,"New York, NY, US",fairviewretailco.com,2004,verified,76,50,0,Registered business with verifiable domain and presence.
112,Lakeside Technologies,Retail,"Denver, CO, US",lakesidetechnologies.com,1990,verified,85,50,0,Registered business with verifiable domain and presence.
113,Granite Consulting,Financial Services,"Denver, CO, US",graniteconsulting.com,1987,verified,82,10,0,Registered business with verifiable domain and presence.
114,Brightwater Financial,Human Resources,"Chicago, IL, US",brightwaterfinancial.com,1990,verified,88,300,0,Registered business with verifiable domain and presence.
115,Pacific Crest Group,Human Resources,"Sydney, NSW, AU",pacificcrestgroup.com,2009,verified,94,50,0,Registered business with verifiable domain and presence.
116,Brookstone Analytics,Financial Services,"Seattle, WA, US",brookstoneanalytics.com,1994,verified,71,1500,0,Registered business with verifiable domain and presence.
117,Granite Capital,Manufacturing,"Atlanta, GA, US",granitecapital.com,2013,verified,77,1500,0,Registered business with verifiable domain and presence.
118,Eastview Capital,Logistics and Supply Chain,"Pune, MH, IN",eastviewcapital.com,1986,verified,96,800,0,Registered business with verifiable domain and presence.
119,Atlas Logistics,Computer Software,"New York, NY, US",atlaslogistics.com,1987,verified,74,800,0,Registered business with verifiable domain and presence.
120,Cascade Industries,Construction,"Pune, MH, IN",cascadeindustries.com,2013,verified,87,10,0,Registered business with verifiable domain and presence.
121,Clearwater Technologies,Construction,"New York, NY, US",clearwatertechnologies.com,1985,verified,91,800,0,Registered business with verifiable domain and presence.
122,Apex Networks,Telecommunications,"San Francisco, CA, US",apexnetworks.com,2017,verified,87,10,0,Registered business with verifiable domain and presence.
123,Oakmont Capital,Computer Software,"Bangalore, KA, IN",oakmontcapital.com,2015,verified,78,1500,0,Registered business with verifiable domain and presence.
124,Clearwater Networks,Real Estate,"Pune, MH, IN",clearwaternetworks.com,2009,verified,72,120,0,Registered business with verifiable domain and presence.
125,Oakmont Financial,Construction,"New York, NY, US",oakmontfinancial.com,2004,verified,93,300,0,Registered business with verifiable domain and presence.
126,Crestview Retail Co.,Telecommunications,"New York, NY, US",crestviewretailco.com,1997,verified,91,800,0,Registered business with verifiable domain and presence.
127,Crestview Technologies,Real Estate,"New York, NY, US",crestviewtechnologies.com,2016,verified,78,800,0,Registered business with verifiable domain and presence.
128,Bluepeak Systems,Human Resources,"Atlanta, GA, US",bluepeaksystems.com,2003,verified,92,300,0,Registered business with verifiable domain and presence.
129,Brightwater Networks,Real Estate,"Atlanta, GA, US",brightwaternetworks.com,1992,verified,87,25,0,Registered business with verifiable domain and presence.
130,Brightwater Consulting,Real Estate,"New York, NY, US",brightwaterconsulting.com,2003,verified,84,10,0,Registered business with verifiable domain and presence.
131,Summit Consulting,Financial Services,"Bangalore, KA, IN",summitconsulting.com,2018,verified,78,50,0,Registered business with verifiable domain and presence.
132,Horizon Analytics,Real Estate,"Denver, CO, US",horizonanalytics.com,1986,verified,75,10,0,Registered business with verifiable domain and presence.
133,Redwood Networks,Construction,"Seattle, WA, US",redwoodnetworks.com,1994,verified,83,50,0,Registered business with verifiable domain and presence.
134,Pinecrest Retail Co.,Computer Software,"Pune, MH, IN",pinecrestretailco.com,2006,verified,70,50,0,Registered business with verifiable domain and presence.
135,Eastview Retail Co.,Manufacturing,"Denver, CO, US",eastviewretailco.com,1992,verified,76,800,0,Registered business with verifiable domain and presence.
136,Apex Financial,Marketing and Advertising,"Boston, MA, US",apexfinancial.com,1989,verified,82,120,0,Registered business with verifiable domain and presence.
137,Pacific Crest Solutions,Marketing and Advertising,"San Francisco, CA, US",pacificcrestsolutions.com,1988,verified,96,800,0,Registered business with verifiable domain and presence.
138,Brightwater Group,Human Resources,"Seattle, WA, US",brightwatergroup.com,2018,verified,90,120,0,Registered business with verifiable domain and presence.
139,Meridian Manufacturing,Telecommunications,"Denver, CO, US",meridianmanufacturing.com,1986,verified,95,1500,0,Registered business with verifiable domain and presence.
140,Clearwater Media,Education Management,"London, England, GB",clearwatermedia.com,1998,verified,93,10,0,Registered business with verifiable domain and presence.
141,Northbridge Labs,Real Estate,"Manchester, England, GB",northbridgelabs.com,1993,verified,90,1500,0,Registered business with verifiable domain and presence.
142,Brightwater Analytics,Information Technology and Services,"Sydney, NSW, AU",brightwateranalytics.com,2020,verified,74,25,0,Registered business with verifiable domain and presence.
143,Redwood Labs,Logistics and Supply Chain,"Toronto, ON, CA",redwoodlabs.com,1990,verified,91,50,0,Registered business with verifiable domain and presence.
144,Brookstone Healthcare,Insurance,"New York, NY, US",brookstonehealthcare.com,2002,verified,90,300,0,Registered business with verifiable domain and presence.
145,Glenmark Analytics,Education Management,"Chicago, IL, US",glenmarkanalytics.com,2013,verified,80,1500,0,Registered business with verifiable domain and presence.
146,Harborview Labs,Financial Services,"London, England, GB",harborviewlabs.com,1997,verified,77,10,0,Registered business with verifiable domain and presence.
147,Stonefield Systems,Information Technology and Services,"Bangalore, KA, IN",stonefieldsystems.com,2011,verified,82,120,0,Registered business with verifiable domain and presence.
148,Brookstone Capital,Hospital & Health Care,"Denver, CO, US",brookstonecapital.com,2002,verified,80,1500,0,Registered business with verifiable domain and presence.
149,Northbridge Analytics,Insurance,"London, England, GB",northbridgeanalytics.com,1985,verified,82,1500,0,Registered business with verifiable domain and presence.
150,Glenmark Capital,Human Resources,"Mumbai, MH, IN",glenmarkcapital.com,1998,verified,72,50,0,Registered business with verifiable domain and presence.
151,Pacific Crest Technologies,Financial Services,"New York, NY, US",pacificcresttechnologies.com,2012,verified,92,1500,0,Registered business with verifiable domain and presence.
152,Sterling Analytics,Education Management,"Atlanta, GA, US",sterlinganalytics.com,1989,verified,83,10,0,Registered business with verifiable domain and presence.
153,Granite Networks,Retail,"Denver, CO, US",granitenetworks.com,2011,verified,91,10,0,Registered business with verifiable domain and presence.
154,Crestview Logistics,Logistics and Supply Chain,"Sydney, NSW, AU",crestviewlogistics.com,1987,verified,90,800,0,Registered business with verifiable domain and presence.
155,Silverline Industries,Computer Software,"San Francisco, CA, US",silverlineindustries.com,2004,verified,86,300,0,Registered business with verifiable domain and presence.
156,Meridian Media,Retail,"Mumbai, MH, IN",meridianmedia.com,2004,verified,96,1500,0,Registered business with verifiable domain and presence.
157,Horizon Holdings,Hospital & Health Care,"New York, NY, US",horizonholdings.com,2011,verified,92,800,0,Registered business with verifiable domain and presence.
158,Brightwater Solutions,Information Technology and Services,"Chicago, IL, US",brightwatersolutions.com,2016,verified,91,800,0,Registered business with verifiable domain and presence.
159,Westgate Consulting,Marketing and Advertising,"Chicago, IL, US",westgateconsulting.com,2012,verified,81,25,0,Registered business with verifiable domain and presence.
160,Redwood Solutions,Insurance,"Boston, MA, US",redwoodsolutions.com,2011,verified,81,800,0,Registered business with verifiable domain and presence.
161,Pinecrest Systems,Information Technology and Services,"Mumbai, MH, IN",pinecrestsystems.com,2003,verified,93,1500,0,Registered business with verifiable domain and presence.
162,Glenmark Consulting,Hospital & Health Care,"Atlanta, GA, US",glenmarkconsulting.com,1997,verified,79,1500,0,Registered business with verifiable domain and presence.
163,Granite Systems,Hospital & Health Care,"Atlanta, GA, US",granitesystems.com,1999,verified,78,1500,0,Registered business with verifiable domain and presence.
164,Brightwater Industries,Logistics and Supply Chain,"Atlanta, GA, US",brightwaterindustries.com,1996,verified,77,120,0,Registered business with verifiable domain and presence.
165,Westgate Solutions,Logistics and Supply Chain,"Austin, TX, US",westgatesolutions.com,2010,verified,71,25,0,Registered business with verifiable domain and presence.
166,Harborview Retail Co.,Insurance,"San Francisco, CA, US",harborviewretailco.com,1990,verified,75,50,0,Registered business with verifiable domain and presence.
167,Meridian Partners,Human Resources,"Sydney, NSW, AU",meridianpartners.com,2018,verified,93,120,0,Registered business with verifiable domain and presence.
168,Northbridge Financial,Human Resources,"Bangalore, KA, IN",northbridgefinancial.com,2009,verified,96,50,0,Registered business with verifiable domain and presence.
169,Ironwood Networks,Insurance,"Manchester, England, GB",ironwoodnetworks.com,2016,verified,91,50,0,Registered business with verifiable domain and presence.
170,Summit Manufacturing,Construction,"Sydney, NSW, AU",summitmanufacturing.com,1992,verified,87,1500,0,Registered business with verifiable domain and presence.
171,Fairview Networks,Hospital & Health Care,"Boston, MA, US",fairviewnetworks.com,2008,verified,93,120,0,Registered business with verifiable domain and presence.
172,Apex Labs,Hospital & Health Care,"Mumbai, MH, IN",apexlabs.com,2010,verified,71,120,0,Registered business with verifiable domain and presence.
173,Northbridge Networks,Computer Software,"Mumbai, MH, IN",northbridgenetworks.com,1988,verified,78,25,0,Registered business with verifiable domain and presence.
174,Vantage Solutions,Marketing and Advertising,"Bangalore, KA, IN",vantagesolutions.com,2005,verified,78,50,0,Registered business with verifiable domain and presence.
175,Silverline Networks,Telecommunications,"Denver, CO, US",silverlinenetworks.com,2001,verified,83,1500,0,Registered business with verifiable domain and presence.
176,Redwood Group,Real Estate,"Austin, TX, US",redwoodgroup.com,1985,verified,95,800,0,Registered business with verifiable domain and presence.
177,Cascade Consulting,Education Management,"Chicago, IL, US",cascadeconsulting.com,2010,verified,94,25,0,Registered business with verifiable domain and presence.
178,Horizon Labs,Computer Software,"Toronto, ON, CA",horizonlabs.com,1987,verified,85,300,0,Registered business with verifiable domain and presence.
179,Vantage Consulting,Hospital & Health Care,"San Francisco, CA, US",vantageconsulting.com,2011,verified,85,800,0,Registered business with verifiable domain and presence.
180,Harborview Partners,Hospital & Health Care,"Austin, TX, US",harborviewpartners.com,2011,verified,84,300,0,Registered business with verifiable domain and presence.
181,Horizon Group,Marketing and Advertising,"Sydney, NSW, AU",horizongroup.com,1997,verified,80,10,0,Registered business with verifiable domain and presence.
182,Pinecrest Healthcare,Construction,"Toronto, ON, CA",pinecresthealthcare.com,1996,verified,85,10,0,Registered business with verifiable domain and presence.
183,Redwood Logistics,Manufacturing,"Atlanta, GA, US",redwoodlogistics.com,2008,verified,71,50,0,Registered business with verifiable domain and presence.
184,Horizon Industries,Information Technology and Services,"Chicago, IL, US",horizonindustries.com,1997,verified,72,50,0,Registered business with verifiable domain and presence.
185,Glenmark Partners,Real Estate,"Manchester, England, GB",glenmarkpartners.com,2001,verified,94,1500,0,Registered business with verifiable domain and presence.
186,Oakmont Technologies,Computer Software,"Toronto, ON, CA",oakmonttechnologies.com,2007,verified,76,10,0,Registered business with verifiable domain and presence.
187,Cascade Retail Co.,Financial Services,"New York, NY, US",cascaderetailco.com,1998,verified,78,10,0,Registered business with verifiable domain and presence.
188,Vantage Systems,Manufacturing,"New York, NY, US",vantagesystems.com,2005,verified,83,800,0,Registered business with verifiable domain and presence.
189,Cascade Partners,Logistics and Supply Chain,"Seattle, WA, US",cascadepartners.com,1989,verified,76,10,0,Registered business with verifiable domain and presence.
190,Sterling Media,Computer Software,"Manchester, England, GB",sterlingmedia.com,2008,verified,93,300,0,Registered business with verifiable domain and presence.
191,Summit Partners,Construction,"Bangalore, KA, IN",summitpartners.com,2002,verified,83,50,0,Registered business with verifiable domain and presence.
192,Cascade Labs,Construction,"New York, NY, US",cascadelabs.com,2008,verified,90,25,0,Registered business with verifiable domain and presence.
193,Bluepeak Consulting,Construction,"Manchester, England, GB",bluepeakconsulting.com,2008,verified,84,1500,0,Registered business with verifiable domain and presence.
194,Lakeside Group,Retail,"Seattle, WA, US",lakesidegroup.com,1995,verified,86,25,0,Registered business with verifiable domain and presence.
195,Granite Solutions,Real Estate,"Boston, MA, US",granitesolutions.com,1988,verified,89,800,0,Registered business with verifiable domain and presence.
196,Pinecrest Consulting,Insurance,"Manchester, England, GB",pinecrestconsulting.com,1995,verified,90,1500,0,Registered business with verifiable domain and presence.
197,Pacific Crest Logistics,Logistics and Supply Chain,"Denver, CO, US",pacificcrestlogistics.com,1997,verified,96,120,0,Registered business with verifiable domain and presence.
198,Lakeside Systems,Information Technology and Services,"Denver, CO, US",lakesidesystems.com,2018,verified,75,120,0,Registered business with verifiable domain and presence.
199,Vantage Networks,Education Management,"Pune, MH, IN",vantagenetworks.com,2004,verified,90,120,0,Registered business with verifiable domain and presence.
200,Harborview Networks,Manufacturing,"Austin, TX, US",harborviewnetworks.com,2015,verified,82,10,0,Registered business with verifiable domain and presence.
201,Summit Group,Retail,"Denver, CO, US",summitgroup.com,2008,verified,72,1500,0,Registered business with verifiable domain and presence.
202,Crestview Consulting,Insurance,"Boston, MA, US",crestviewconsulting.com,2017,verified,72,10,0,Registered business with verifiable domain and presence.
203,Sterling Partners,Human Resources,"Mumbai, MH, IN",sterlingpartners.com,1999,verified,72,1500,0,Registered business with verifiable domain and presence.
204,Cascade Healthcare,Financial Services,"Boston, MA, US",cascadehealthcare.com,2002,verified,96,120,0,Registered business with verifiable domain and presence.
205,Stonefield Capital,Retail,"Chicago, IL, US",stonefieldcapital.com,2016,verified,95,10,0,Registered business with verifiable domain and presence.
206,Lakeside Media,Financial Services,"Toronto, ON, CA",lakesidemedia.com,2002,verified,91,50,0,Registered business with verifiable domain and presence.
207,Pinecrest Partners,Telecommunications,"Mumbai, MH, IN",pinecrestpartners.com,2001,verified,73,1500,0,Registered business with verifiable domain and presence.
208,Glenmark Solutions,Human Resources,"Pune, MH, IN",glenmarksolutions.com,2008,verified,84,300,0,Registered business with verifiable domain and presence.
209,Glenmark Industries,Marketing and Advertising,"London, England, GB",glenmarkindustries.com,2010,verified,93,1500,0,Registered business with verifiable domain and presence.
210,Eastview Consulting,Real Estate,"Chicago, IL, US",eastviewconsulting.com,1996,verified,89,800,0,Registered business with verifiable domain and presence.
211,Pacific Crest Retail Co.,Insurance,"New York, NY, US",pacificcrestretailco.com,1987,verified,77,25,0,Registered business with verifiable domain and presence.
