job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
2538,Tutor,"Atlanta, GA, US",Human Resources,110000-140000,"We are Redwood Group, a 2000-person company headquartered in Atlanta, specializing in staffing and recruiting. Visit our official website for more on our mission, leadership team, and open positions.","We are looking for a Tutor to join our growing team in Atlanta, GA, US. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to human resources, collaborating with stakeholders, and contributing to ongoing process improvements. This is a temporary position reporting directly to the human resources lead.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",1,1,1,Temporary,Internship,High School or equivalent,Staffing and Recruiting,Human Resources,0
2627,Recruiter,"Denver, CO, US",Administrative,90000-105000,"We are Horizon Partners, a 800-person company headquartered in Denver, specializing in banking. Visit our official website for more on our mission, leadership team, and open positions.","Horizon Partners is hiring a Recruiter to support our administrative team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,0,Full-time,Not Applicable,Bachelor's Degree,Banking,Administrative,0
1165,Frontend Developer,"Pune, MH, IN",Marketing,90000-120000,"Oakmont Systems has been a trusted name in logistics and supply chain since 2003. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","As a Frontend Developer at Oakmont Systems, you will play a key role in our marketing department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,0,Full-time,Mid-Senior level,Master's Degree,Logistics and Supply Chain,Marketing,0
2567,Construction Supervisor,"Sydney, NSW, AU",Marketing,55000-75000,"Founded in 1988, Vantage Networks is a leading provider of information technology and services solutions serving clients across Sydney. Our team of 800 professionals is committed to innovation, quality, and long-term client partnerships.","We are looking for a Construction Supervisor to join our growing team in Sydney, NSW, AU. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to marketing, collaborating with stakeholders, and contributing to ongoing process improvements. This is a full-time position reporting directly to the marketing lead.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,0,Full-time,Not Applicable,Master's Degree,Information Technology and Services,Marketing,0
1523,Data Scientist,"Denver, CO, US",Engineering,75000-85000,"We are Brookstone Consulting, a 800-person company headquartered in Denver, specializing in telecommunications. Visit our official website for more on our mission, leadership team, and open positions.","Brookstone Consulting is hiring a Data Scientist to support our engineering team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,1,Contract,Associate,Associate Degree,Telecommunications,Engineering,0
1381,Truck Driver,"Denver, CO, US",Administrative,110000-140000,"Founded in 1997, Vantage Systems is a leading provider of real estate solutions serving clients across Denver. Our team of 20 professionals is committed to innovation, quality, and long-term client partnerships.","We are looking for a Truck Driver to join our growing team in Denver, CO, US. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to administrative, collaborating with stakeholders, and contributing to ongoing process improvements. This is a temporary position reporting directly to the administrative lead.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,1,0,Temporary,Internship,Certification,Real Estate,Administrative,0
989,Construction Supervisor,"Bangalore, KA, IN",Management,110000-130000,"We are Crestview Group, a 2000-person company headquartered in Bangalore, specializing in information technology and services. Visit our official website for more on our mission, leadership team, and open positions.","As a Construction Supervisor at Crestview Group, you will play a key role in our management department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,0,0,Full-time,Internship,Certification,Information Technology and Services,Management,0
955,Delivery Driver,"Boston, MA, US",Human Resources,75000-85000,"Founded in 1993, Fairview Group is a leading provider of computer software solutions serving clients across Boston. Our team of 50 professionals is committed to innovation, quality, and long-term client partnerships.","As a Delivery Driver at Fairview Group, you will play a key role in our human resources department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",1,1,0,Temporary,Not Applicable,Unspecified,Computer Software,Human Resources,0
449,Project Manager,"Singapore, SG",Management,45000-65000,"Founded in 1992, Vantage Industries is a leading provider of computer software solutions serving clients across Singapore. Our team of 50 professionals is committed to innovation, quality, and long-term client partnerships.","Vantage Industries is hiring a Project Manager to support our management team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,1,Full-time,Internship,Unspecified,Computer Software,Management,0
542,Accountant,"Boston, MA, US",Management,45000-65000,"Founded in 1990, Atlas Systems is a leading provider of financial services solutions serving clients across Boston. Our team of 20 professionals is committed to innovation, quality, and long-term client partnerships.","As a Accountant at Atlas Systems, you will play a key role in our management department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,0,1,Contract,Internship,Unspecified,Financial Services,Management,0
2926,Civil Engineer,"Sydney, NSW, AU",,,Join our team of remote workers today! We are urgently hiring due to rapid expansion. No interview required for qualified candidates -- just complete the application to get started.,Are you looking to make money fast? Become our Civil Engineer today! This is a limited-time opportunity paying up to $800 per week. We will send you a check to purchase your own equipment -- just deposit it and forward the remaining balance to our vendor via wire transfer to begin.,"No experience necessary! Must have a laptop, phone, and internet connection. Must be willing to receive packages at your home address and reship them per instructions.","Get paid same day! Flexible hours, work from anywhere, no boss looking over your shoulder.",1,0,0,Other,Not Applicable,Unspecified,Logistics and Supply Chain,Sales,1
394,Frontend Developer,"Chicago, IL, US",Engineering,90000-110000,"Harborview Consulting has been a trusted name in marketing and advertising since 2004. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","Harborview Consulting is hiring a Frontend Developer to support our engineering team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,0,1,Temporary,Entry level,Master's Degree,Marketing and Advertising,Engineering,0
1167,Mechanical Engineer,"Manchester, England, GB",Health Care Provider,75000-105000,"Atlas Networks has been a trusted name in real estate since 2001. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","As a Mechanical Engineer at Atlas Networks, you will play a key role in our health care provider department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",1,1,1,Contract,Associate,Certification,Real Estate,Health Care Provider,0
1390,Tutor,"Atlanta, GA, US",Health Care Provider,55000-75000,"Harborview Manufacturing has been a trusted name in hospital & health care since 1987. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","As a Tutor at Harborview Manufacturing, you will play a key role in our health care provider department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,1,Part-time,Mid-Senior level,Master's Degree,Hospital & Health Care,Health Care Provider,0
87,Construction Supervisor,"Mumbai, MH, IN",Sales,110000-140000,"We are Ironwood Group, a 2000-person company headquartered in Mumbai, specializing in marketing and advertising. Visit our official website for more on our mission, leadership team, and open positions.","Ironwood Group is hiring a Construction Supervisor to support our sales team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,1,0,Part-time,Associate,Certification,Marketing and Advertising,Sales,0
1186,HR Generalist,"Mumbai, MH, IN",Human Resources,45000-65000,"We are Crestview Industries, a 800-person company headquartered in Mumbai, specializing in retail. Visit our official website for more on our mission, leadership team, and open positions.","As a HR Generalist at Crestview Industries, you will play a key role in our human resources department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",1,0,0,Contract,Entry level,Certification,Retail,Human Resources,0
620,Accountant,Remote,Other,65000-80000,"We are Ironwood Group, a 800-person company headquartered in Remote, specializing in manufacturing. Visit our official website for more on our mission, leadership team, and open positions.","As a Accountant at Ironwood Group, you will play a key role in our other department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,1,Temporary,Not Applicable,Some College Coursework Completed,Manufacturing,Other,0
606,Barista,"Austin, TX, US",Engineering,110000-130000,"Silverline Holdings has been a trusted name in telecommunications since 2007. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","We are looking for a Barista to join our growing team in Austin, TX, US. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to engineering, collaborating with stakeholders, and contributing to ongoing process improvements. This is a part-time position reporting directly to the engineering lead.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",1,1,1,Part-time,Mid-Senior level,Some College Coursework Completed,Telecommunications,Engineering,0
1298,Technical Writer,"Toronto, ON, CA",Sales,110000-140000,"We are Harborview Analytics, a 800-person company headquartered in Toronto, specializing in hospital & health care. Visit our official website for more on our mission, leadership team, and open positions.","Harborview Analytics is hiring a Technical Writer to support our sales team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Part-time,Internship,Unspecified,Hospital & Health Care,Sales,0
1053,Warehouse Associate,"Boston, MA, US",Human Resources,110000-130000,"Founded in 2004, Redwood Consulting is a leading provider of construction solutions serving clients across Boston. Our team of 800 professionals is committed to innovation, quality, and long-term client partnerships.","Redwood Consulting is hiring a Warehouse Associate to support our human resources team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,0,Other,Not Applicable,Associate Degree,Construction,Human Resources,0
186,Network Administrator,"Chicago, IL, US",Engineering,35000-45000,"Founded in 1997, Bluepeak Group is a leading provider of information technology and services solutions serving clients across Chicago. Our team of 300 professionals is committed to innovation, quality, and long-term client partnerships.","Bluepeak Group is hiring a Network Administrator to support our engineering team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,0,1,Part-time,Internship,Some College Coursework Completed,Information Technology and Services,Engineering,0
1857,Accountant,"Sydney, NSW, AU",Marketing,90000-105000,"Founded in 1998, Silverline Group is a leading provider of logistics and supply chain solutions serving clients across Sydney. Our team of 300 professionals is committed to innovation, quality, and long-term client partnerships.","As a Accountant at Silverline Group, you will play a key role in our marketing department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",1,1,0,Part-time,Not Applicable,Associate Degree,Logistics and Supply Chain,Marketing,0
2939,Civil Engineer,"Mumbai, MH, IN",,3000-6000,"EasyHire Worldwide connects job seekers with high-paying remote opportunities. Flexible hours, weekly pay, work from anywhere! Limited spots available, apply now before positions fill up.","URGENT HIRING! We need a Civil Engineer to start IMMEDIATELY. Earn $500/week working from home with FLEXIBLE hours! No experience required, full training provided. To begin, simply reply with your full name, address, and a copy of a government ID so we can set up your direct deposit and ship your starter equipment.",Anyone can apply! We just need your basic information and a small registration fee to cover background check processing and training materials.,"Be your own boss! Guaranteed income, no cap on earnings, instant approval.",1,1,0,Other,Not Applicable,Bachelor's Degree,Information Technology and Services,Customer Service,1
2069,Bookkeeper,"London, England, GB",Administrative,75000-85000,"We are Redwood Analytics, a 20-person company headquartered in London, specializing in construction. Visit our official website for more on our mission, leadership team, and open positions.","We are looking for a Bookkeeper to join our growing team in London, England, GB. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to administrative, collaborating with stakeholders, and contributing to ongoing process improvements. This is a contract position reporting directly to the administrative lead.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,1,1,Contract,Mid-Senior level,Certification,Construction,Administrative,0
2543,Business Development Manager,"Toronto, ON, CA",Business Development,35000-45000,"Founded in 1998, Oakmont Partners is a leading provider of telecommunications solutions serving clients across Toronto. Our team of 300 professionals is committed to innovation, quality, and long-term client partnerships.","We are looking for a Business Development Manager to join our growing team in Toronto, ON, CA. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to business development, collaborating with stakeholders, and contributing to ongoing process improvements. This is a part-time position reporting directly to the business development lead.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",1,0,1,Part-time,Not Applicable,Associate Degree,Telecommunications,Business Development,0
825,QA Tester,Remote,Administrative,45000-65000,"Apex Analytics has been a trusted name in insurance since 1989. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","We are looking for a QA Tester to join our growing team in Remote. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to administrative, collaborating with stakeholders, and contributing to ongoing process improvements. This is a full-time position reporting directly to the administrative lead.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",1,1,0,Full-time,Not Applicable,Some College Coursework Completed,Insurance,Administrative,0
468,Teacher,"Atlanta, GA, US",Customer Service,75000-105000,"Atlas Industries has been a trusted name in marketing and advertising since 2013. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","As a Teacher at Atlas Industries, you will play a key role in our customer service department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Other,Entry level,Bachelor's Degree,Marketing and Advertising,Customer Service,0
1971,Operations Manager,"Sydney, NSW, AU",Information Technology,90000-110000,"Founded in 1998, Vantage Labs is a leading provider of information technology and services solutions serving clients across Sydney. Our team of 2000 professionals is committed to innovation, quality, and long-term client partnerships.","Vantage Labs is hiring a Operations Manager to support our information technology team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,1,1,Full-time,Director,Unspecified,Information Technology and Services,Information Technology,0
2420,Marketing Coordinator,Remote,Sales,45000-65000,"Founded in 2010, Clearwater Holdings is a leading provider of marketing and advertising solutions serving clients across Remote. Our team of 800 professionals is committed to innovation, quality, and long-term client partnerships.","As a Marketing Coordinator at Clearwater Holdings, you will play a key role in our sales department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,0,1,Temporary,Director,Master's Degree,Marketing and Advertising,Sales,0
721,Delivery Driver,"Pune, MH, IN",Customer Service,55000-65000,"Pinecrest Partners has been a trusted name in marketing and advertising since 2015. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","Pinecrest Partners is hiring a Delivery Driver to support our customer service team. The ideal candidate has relevant experience, strong communication skills, and a track record of meeting deadlines. You'll participate in regular team meetings, contribute to project planning, and help maintain our high standards of quality.",Relevant certification or degree required. Demonstrated experience working in a team environment. Must be able to pass a standard background check as part of our normal hiring process.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,0,Contract,Internship,Associate Degree,Marketing and Advertising,Customer Service,0
728,Pharmacist,"Pune, MH, IN",Business Development,65000-80000,"We are Clearwater Consulting, a 120-person company headquartered in Pune, specializing in hospital & health care. Visit our official website for more on our mission, leadership team, and open positions.","As a Pharmacist at Clearwater Consulting, you will play a key role in our business development department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Prior experience in a similar role is a plus but not required for entry-level candidates. Must be authorized to work in the country of employment. Willingness to learn new tools and processes.,"Comprehensive benefits package including medical coverage, retirement plan, and paid parental leave.",0,0,1,Part-time,Director,Master's Degree,Hospital & Health Care,Business Development,0
1841,Sales Associate,"San Francisco, CA, US",Engineering,45000-60000,"Northbridge Technologies has been a trusted name in banking since 2008. We pride ourselves on a collaborative culture, competitive benefits, and a strong commitment to employee growth and development.","As a Sales Associate at Northbridge Technologies, you will play a key role in our engineering department. We offer a structured onboarding process, mentorship from senior staff, and clear paths for career advancement within the company.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Health, dental, and vision insurance. 401(k) with company match. Paid time off and company holidays. Professional development budget.",0,1,1,Full-time,Mid-Senior level,Certification,Banking,Engineering,0
219,Financial Analyst,"Manchester, England, GB",Information Technology,65000-80000,"We are Silverline Manufacturing, a 50-person company headquartered in Manchester, specializing in marketing and advertising. Visit our official website for more on our mission, leadership team, and open positions.","We are looking for a Financial Analyst to join our growing team in Manchester, England, GB. You will work closely with cross-functional teams to deliver high-quality results. Responsibilities include managing day-to-day tasks related to information technology, collaborating with stakeholders, and contributing to ongoing process improvements. This is a temporary position reporting directly to the information technology lead.",Bachelor's degree in a related field or equivalent practical experience. 2+ years of relevant experience preferred. Strong written and verbal communication skills. Proficiency with standard office software.,"Competitive salary, health benefits, flexible scheduling, and opportunities for internal promotion.",0,0,1,Temporary,Associate,Certification,Marketing and Advertising,Information Technology,0
